      1000	  153.59	  150.17	  970.87	  966.19
      2000	  154.92	  151.02	  987.66	 1012.15
      4000	  155.53	  151.43	  970.87	 1035.20
      8000	  155.74	  147.77	 1002.13	 1024.33
     16000	  156.06	  147.20	 1021.25	 1032.79
     32000	  155.98	  148.10	 1013.68	 1037.01
     64000	  155.99	  147.90	  876.87	 1036.49
    128000	  155.98	  147.69	  892.58	 1033.70
    256000	  155.68	  148.45	  889.57	 1034.54
    512000	  155.58	  147.08	  880.39	 1034.39
   1024000	  155.45	  150.53	  844.06	 1018.23
   2048000	  155.37	  152.35	  825.54	 1011.74
   4096000	  154.96	  153.28	  771.82	 1010.23
   8192000	  155.88	  301.14	 1160.70	 1906.63
  16384000	  293.66	  301.60	 1347.16	 1905.48
